name	abbreviation	equation	lowbnd	uppbnd	Present	obj_coef	rule	Knockout cost	Knockin cost	ProteinClass	subSystem
chorismate mutase	CHORM	[c] : chor --> pphn	0	Inf	1	0	Gmet_0346, Gmet_0862, Gmet_1955	1	1	PheA2, AroA , PheA	Amino Acid Metabolism
chorismate synthase	CHORS	[c] : 3psme --> chor + pi	0	Inf	1	0	Gmet_0976	1	1	AroF	Amino Acid Metabolism
cardiolipin synthetase	CLPNS	[c] : cdpdag + pgly --> cdlp + cmp + h	0	Inf	1	0	Gmet_0065, Gmet_3078, Gmet_0078	1	1	Cls2, Cls3, Cls	Other
chlorideion transport out via diffusion	Clt	cl[e] <==> cl[c]	-Inf	Inf	1	0	Gmet_3470	1	1	ClC	Transport
cob(II)yrinic acid a,c-diamide reductase	CO2DAMR	[c] : (2) co2dam + nadh --> (2) co1dam + h + nad	0	Inf	1	0		1	1		Cofactor and Prosthetic Group Biosynthesis
CO2 transport out via diffusion	CO2t	co2[e] <==> co2[c]	-Inf	Inf	1	0		1	1		Transport
Cobalt transport via ABC system	Coabc	atp[c] + cobalt2[e] + h2o[c] --> adp[c] + cobalt2[c] + h[c] + pi[c]	0	Inf	1	0	Gmet_2441_OR_Gmet_2440_OR_Gmet_2439_AND_ Gmet_0475_OR_Gmet_0474_OR_Gmet_0472_OR_Gmet_0473	1	1	CbiMNQO2, CbiMNQO	Transport
cobalt transport out via proton antiporter	COBALTt4	cobalt2[c] + h[e] + k[e] --> cobalt2[e] + h[c] + k[c]	0	Inf	1	0	Gmet_3508_OR_Gmet_3509_OR_Gmet_3507	1	1	CzcA	Transport
cobalt transport in/out via permease (no H+)	COBALTt5	cobalt2[c] <==> cobalt2[e]	-Inf	Inf	1	0	Gmet_0134, Gmet_1189	1	1	CorA2, CorA1	Transport
cobalamin-5'-phosphate synthase	COBPS	[c] : adgcoba + rdmbzi --> cobamcoa + gmp + h	0	Inf	1	0	Gmet_0468	1	1	CobS	Vitamins & Cofactor Biosynthesis
carbon-monoxide dehydrogenase	CODH	[c] : co + fdxo-4:2 + h2o --> co2 + fdxr-4:2 + (2) h	0	Inf	1	0	Gmet_1902	1	1	CooS	Other
precorrin-2 C20-methyltransferase	CPC2MT	[c] : amet + copre2 --> ahcys + copre3 + h	0	Inf	1	0	Gmet_0482	1	1	CbiL	Vitamins & Cofactor Biosynthesis
precorrin-3B C17-methyltransferase	CPC3MT	[c] : amet + copre3 + h --> ahcys + copre4	0	Inf	1	0	Gmet_0485, Gmet_0484	1	1	CbiG, CbiP-CbiH	Vitamins & Cofactor Biosynthesis
precorrin-4 C11-methyltransferase	CPC4MT	[c] : amet + copre4 --> ahcys + copre5 + h	0	Inf	1	0	Gmet_0483	1	1	CbiF	Vitamins & Cofactor Biosynthesis
precorrin-5 C1-methyltransferase	CPC5MT	[c] : amet + copre5 + h2o + (0.5) nadh --> acald + ahcys + copre6 + (1.5) h + (0.5) nad	0	Inf	1	0	Gmet_0478	1	1	CbiD	Vitamins & Cofactor Biosynthesis
precorrin-6Y C5,15-methyltransferase (decarboxylating)	CPC6MT	[c] : (2) amet + codhpre6 --> (2) ahcys + co2 + copre8 + h	0	Inf	1	0	Gmet_0481	1	1	CbiE	Vitamins & Cofactor Biosynthesis
precorrin-6A reductase	CPC6R	[c] : copre6 + h + nadph --> codhpre6 + nadp	0	Inf	1	0		1	1		Cofactor and Prosthetic Group Biosynthesis
precorrin-8X methylmutase	CPC8MM	[c] : copre8 <==> cobrnt	-Inf	Inf	1	0	Gmet_0477	1	1	CbiC	Vitamins & Cofactor Biosynthesis
Oxygen Independent coproporphyrinogen-III oxidase	CPPPGOAN	[c] : (2) amet + cpppg3 + (2) fdxo-4:2 + (2) nadph --> (2) co2 + (2) dad-5 + (2) fdxr-4:2 + (2) h + (2) met-L + (2) nadp + pppg9	0	Inf	1	0	Gmet_3535	1	1	HemN	Vitamins & Cofactor Biosynthesis
p-cresol transport vis diffusion	CRESt	4crsol[e] <==> 4crsol[c]	-Inf	Inf	1	0		1	1		Transport
creatininase	CRET	[c] : crtn + h2o --> creat	0	Inf	1	0	Gmet_1659	1	1	CreT	Amino Acid Metabolism
chromate transport out via proton antiport	CRO4t3	cro4[c] + h[e] --> cro4[e] + h[c]	0	Inf	1	0	Gmet_2731, Gmet_2732	1	1	YwrB, YwrA	Transport
citrate synthase	CS	[c] : accoa + h2o + oaa --> cit + coa + h	0	Inf	1	0	Gmet_1124, Gmet_2689	1	1	Cit, Cit1	Central Metabolism
Cytosine deaminase	CSND	[c] : csn + h + h2o --> nh4 + ura	0	Inf	1	0	Gmet_3524	1	1	YaaJ	Nucleotide Metabolism
CTP synthase (NH3)	CTPS1	[c] : atp + nh4 + utp --> adp + ctp + (2) h + pi	0	Inf	1	0	Gmet_1276	1	1	PyrG	Nucleotide Metabolism
CTP synthase (glutamine)	CTPS2	[c] : atp + gln-L + h2o + utp --> adp + ctp + glu-L + (2) h + pi	0	Inf	1	0	Gmet_1276	1	1	PyrG	Nucleotide Metabolism
Copper transport via ABC system	Cuabc	atp[c] + cu2[e] + h2o[c] --> adp[c] + cu2[c] + h[c] + pi[c]	0	Inf	1	0	Gmet_2772	1	1	Cudp	Transport
cytochrome-c peroxidase	CYCPO	[c] : (2) focytcc + (2) h + h2o2 --> (2) ficytcc + (2) h2o	0	Inf	1	0	Gmet_3091	1	1	CcpA2	Other
cytochrome-c oxidase (2 protons translocated)	CYOO2	(2) focytcc[c] + (4) h[c] + (0.5) o2[c] --> (2) ficytcc[c] + (2) h[e] + h2o[c]	0	Inf	1	0	Gmet_0249_OR_Gmet_0251_OR_Gmet_0250_OR_Gmet_0252	1	1	CtaBCDEF	Energy Metabolism
cytochrome-c reductase (menaquinol 7: 1 protons)	CYOR1m	(2) ficytcc[c] + mql7[c] --> (2) focytcc[c] + h[e] + h[c] + mqn7[c]	0	Inf	1	0		1	1		Other
cob(I)yrinic acid a,c-diamide adenosyltransferase	CYRDAAT	[c] : atp + co1dam + h --> adcobdam + pppi	0	Inf	1	0	Gmet_1573	1	1	BtuR	Vitamins & Cofactor Biosynthesis
Cob(II)yrinate a,c-diamide synthase (glutamine-hydrolysing)	CYRDAS	[c] : (4) atp + (2) cobrnt + (4) gln-L + (2) h2o --> (4) adp + (2) co2dam + (4) glu-L + (2) h + (2) ppi	0	Inf	1	0	Gmet_0470	1	1	CbiA	Vitamins & Cofactor Biosynthesis
cysteine synthase	CYSS	[c] : acser + h2s --> ac + cys-L	0	Inf	1	0	Gmet_1558, Gmet_2988, Gmet_0264	1	1	CysK2, CysK1, CysK	Amino Acid Metabolism
cystathionine b-lyase	CYSTL	[c] : cysth-L + h2o --> hcys-L + nh4 + pyr	0	Inf	1	0	Gmet_0698, Gmet_0699	1	1	Cylb2, Cylb	Amino Acid Metabolism
Cysteinyl-tRNA synthetase	CYSTRS	[c] : atp + cys-L + trnacys --> amp + cystrna + ppi	0	Inf	1	0	Gmet_0057	1	1	CysS	Amino Acid Metabolism
cytochrome oxidase bd (ubiquinol-8: 2 protons)	CYTBD	(2) h[c] + (0.5) o2[c] + ubq8h2[c] --> (2) h[e] + h2o[c] + ubq8[c]	0	Inf	1	0	Gmet_2633_OR_Gmet_1930_OR_Gmet_2634_OR_Gmet_1929	1	1	CydABCD	Other
cytidylate kinase (CMP)	CYTK1	[c] : atp + cmp <==> adp + cdp	-Inf	Inf	1	0	Gmet_0865	1	1	Cmk	Nucleotide Metabolism
cytidylate kinase (dCMP)	CYTK2	[c] : atp + dcmp <==> adp + dcdp	-Inf	Inf	1	0	Gmet_0865	1	1	Cmk	Nucleotide Metabolism
deoxyadenylate kinase	DADK	[c] : atp + damp <==> adp + dadp	-Inf	Inf	1	0	Gmet_0647	1	1	Adk	Nucleotide Metabolism
diacylglycerol kinase	DAGK	[c] : 12dgr + atp --> 12dag3p + adp + h	0	Inf	1	0	Gmet_2369	1	1	DgkA	Lipid & Cell Wall Metabolism
3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	DAHPS	[c] : e4p + h2o + pep --> 2dda7p + pi	0	Inf	1	0	Gmet_0346, Gmet_0024, Gmet_2375	1	1	AroA , AroG, AroA2	Amino Acid Metabolism
diaminopimelate decarboxylase	DAPDC	[c] : 26dap-M + h --> co2 + lys-L	0	Inf	1	0	Gmet_2019, Gmet_0219	1	1	LysA, LysA1	Threonine and Lysine Metabolism
diaminopimelate epimerase	DAPE	[c] : 26dap-LL <==> 26dap-M	-Inf	Inf	1	0	Gmet_2992	1	1	DapF	Amino Acid Metabolism
3,4-Dihydroxy-2-butanone-4-phosphate synthase	DB4PS	[c] : ru5p-D --> db4p + for + h	0	Inf	1	0	Gmet_1626	1	1	RibA	Vitamins & Cofactor Biosynthesis
dethiobiotin synthase	DBTS	[c] : atp + co2 + dann --> adp + dtbt + (3) h + pi	0	Inf	1	0	Gmet_1581	1	1	BioD	Vitamins & Cofactor Biosynthesis
dCMP deaminase	DCMPDA2ir	[c] : dcmp + h + h2o --> dump + nh4	0	Inf	1	0	Gmet_1622	1	1	ComEB	Nucleotide Metabolism
dCMP deaminase (CMP)	DCMPDA3ir	[c] : cmp + h + h2o --> nh4 + ump	0	Inf	1	0	Gmet_1622	1	1	ComEB	Nucleotide Metabolism
Dodecanoyl-[acyl-carrier protein]: malonyl-CoA  C-acyltransferase	DDMAT5	[c] : 2tddACP + h + nadh --> ddcaACP + nad	0	Inf	1	0	Gmet_2558	1	1	FabI	Fatty Acid Synthesis
Decanoyl-[acyl-carrier protein]:malonyl-CoA  C-acyltransferase	DEMAT4	[c] : 2tdeACP + h + nadh --> decACP + nad	0	Inf	1	0	Gmet_2558	1	1	FabI	Fatty Acid Synthesis
deoxyguanylate kinase (dGMP:ATP)	DGK1	[c] : atp + dgmp <==> adp + dgdp	-Inf	Inf	1	0	Gmet_2327	1	1	Gmk	Nucleotide Metabolism
dGTPase	DGTPH	[c] : dgtp + h2o --> dgsn + pppi	0	Inf	1	0	Gmet_1762	1	1	Dgt	Nucleotide Metabolism
dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	DHAD1	[c] : 23dhmb --> 3mob + h2o	0	Inf	1	0	Gmet_1259	1	1	IlvD	Amino Acid Metabolism
Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	DHAD2	[c] : 23dhmp --> 3mop + h2o	0	Inf	1	0	Gmet_1259	1	1	IlvD	Amino Acid Metabolism
dihydrodipicolinate reductase (NADPH)	DHDPRy	[c] : 23dhdp + h + nadph --> nadp + thdp	0	Inf	1	0	Gmet_0212	1	1	DapB	Amino Acid Metabolism
dihydrodipicolinate synthase	DHDPS	[c] : aspsa + pyr --> 23dhdp + h + (2) h2o	0	Inf	1	0	Gmet_0211	1	1	DapA	Amino Acid Metabolism
dihydrofolate reductase	DHFOR2	[c] : dhf + nadp <==> fol + nadph	-Inf	Inf	1	0	Gmet_2947	1	1	DfrA	Vitamins & Cofactor Biosynthesis
dihydrofolate reductase	DHFOR3	[c] : fol + h + (2) nadph <==> (2) nadp + thf	-Inf	Inf	1	0	Gmet_2947	1	1	DfrA	Vitamins & Cofactor Biosynthesis
dihydrofolate reductase	DHFR	[c] : dhf + h + nadph <==> nadp + thf	-Inf	Inf	1	0	Gmet_2947	1	1	DfrA	Vitamins & Cofactor Biosynthesis
dihydrofolate synthase	DHFS	[c] : atp + dhpt + glu-L --> adp + dhf + h + pi	0	Inf	1	0	Gmet_2475	1	1	FolC	Vitamins & Cofactor Biosynthesis
dihydroorotate dehydrogenase	DHORD4	[c] : dhor-S + mqn7 <==> mql7 + orot	-Inf	Inf	1	0	Gmet_1842_OR_Gmet_1841	1	1	PyrDK	Purine and Pyrimidine Biosynthesis
dihydroorotase	DHORTS	[c] : dhor-S + h2o <==> cbasp + h	-Inf	Inf	1	0	Gmet_1770	1	1	PyrC	Nucleotide Metabolism
diaminohydroxyphosphoribosylaminopyrimidine deaminase	DHPPDA2	[c] : 25dhpp + h + h2o --> 5apru + nh4	0	Inf	1	0	Gmet_1624	1	1	RibD	Vitamins & Cofactor Biosynthesis
dihydropteroate synthase	DHPS1	[c] : 2ahhmp + 4abz --> dhpt + h2o	0	Inf	1	0	Gmet_1889	1	1	FolP	Cofactor and Prosthetic Group Biosynthesis
dihydropteroate synthase	DHPS3	[c] : 2ahhmd + 4abz --> dhpt + ppi	0	Inf	1	0	Gmet_1889	1	1	FolP	Cofactor and Prosthetic Group Biosynthesis
3-dehydroquinate dehydratase	DHQD1	[c] : 3dhq <==> 3dhsk + h2o	-Inf	Inf	1	0	Gmet_0981	1	1	AroC	Amino Acid Metabolism
3-dehydroquinate synthase	DHQS	[c] : 2dda7p --> 3dhq + pi	0	Inf	1	0	Gmet_0978	1	1	AroB	Amino Acid Metabolism
dimethylallyltranstransferase	DMATT	[c] : dmpp + ipdp --> grdp + ppi	0	Inf	1	0	Gmet_1935	1	1	IspA	Other
3-deoxy-manno-octulosonate cytidylyltransferase	DMOCT	[c] : ctp + kdo --> ckdo + ppi	0	Inf	1	0	Gmet_1275	1	1	KdsB	Other
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)	DMPPS	[c] : h + h2mb4p + nadh --> dmpp + h2o + nad	0	Inf	1	0	Gmet_0866	1	1	LytB	Cofactor and Prosthetic Group Biosynthesis
3-demethylubiquinone-8 3-O-methyltransferase (ubiquinone 8)	DMUQ8M	[c] : 2omhmb + amet --> ahcys + ubq8	0	Inf	1	0	Gmet_2483	1	1	UbiG	Vitamins & Cofactor Biosynthesis
Dolichyl-phosphate D-mannosyltransferase	DOLPMT	[c] : dolp + gdpman --> dolmanp + gdp	0	Inf	1	0	Gmet_2892	1	1	Dpm1	Cell Envelope Biosynthesis
dephospho-CoA kinase	DPCOAK	[c] : atp + dpcoa --> adp + coa + h	0	Inf	1	0	Gmet_3026	1	1	CoaE	Vitamins & Cofactor Biosynthesis
2-dehydropantoate 2-reductase	DPR	[c] : 2dhp + h + nadph --> nadp + pant-R	0	Inf	1	0	Gmet_2643	1	1	YlbQ	Vitamins & Cofactor Biosynthesis
dTMP kinase	DTMPK	[c] : atp + dtmp <==> adp + dtdp	-Inf	Inf	1	0	Gmet_2318, Gmet_3250	1	1	Tmk2, Tmk1	Nucleotide Metabolism
dUTP diphosphatase	DUTPDP	[c] : dutp + h2o --> dump + h + ppi	0	Inf	1	0	Gmet_1593	1	1	YncF	Nucleotide Metabolism
1-deoxy-D-xylulose-5-phosphate reductoisomerase	DXPRI	[c] : dxyl5p + h + nadph <==> 2me4p + nadp	-Inf	Inf	1	0	Gmet_1256	1	1	Dxr	Lipid & Cell Wall Metabolism
1-deoxy-D-xylulose 5-phosphate synthase	DXPS	[c] : g3p + h + pyr --> co2 + dxyl5p	0	Inf	1	0	Gmet_1934, Gmet_2822	1	1	Dxs1, Dxs2	Vitamins & Cofactor Biosynthesis
3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	ECOAH1	[c] : 3hbycoa <==> b2coa + h2o	-Inf	Inf	1	0	Gmet_2057, Gmet_2212, Gmet_2195, Gmet_2071, Gmet_2204, Gmet_1572, Gmet_2196, Gmet_3284, Gmet_2224, Gmet_1716, Gmet_2207, Gmet_1575, Gmet_3291	1	1	YngF1, YngF2, YngF10, YngF9, YngF8, YngF5, YngF11, YsiB1, YngF3, YngF7, YngF, YsiB, YngF6	Lipids
3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)	ECOAH2	[c] : 3hhcoa <==> h2o + hx2coa	-Inf	Inf	1	0	Gmet_2057, Gmet_2212, Gmet_2195, Gmet_2204, Gmet_2071, Gmet_1572, Gmet_2196, Gmet_3284, Gmet_2224, Gmet_1716, Gmet_2207, Gmet_1575, Gmet_3291	1	1	YngF5, YngF6, YsiB, YngF10, YngF, YngF2, YngF7, YngF9, YngF8, YngF3, YsiB1, YngF1, YngF11	Lipids
enoyl-CoA hydratase, bacterial	ECOAH2c	[c] : 2mp2coa + h + h2o <==> hibcoa	-Inf	Inf	1	0	Gmet_2196, Gmet_3284, Gmet_2224, Gmet_2212, Gmet_2057, Gmet_2195, Gmet_1716, Gmet_2207, Gmet_2071, Gmet_2204, Gmet_1572, Gmet_1575	1	1	YngF11, YngF10, YngF3, YngF, YngF2, YngF1, YngF6, YngF9, YsiB, YngF5, YsiB1, YngF7	Lipids
3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)	ECOAH3	[c] : 3hocoa <==> h2o + oc2coa	-Inf	Inf	1	0	Gmet_2057, Gmet_2212, Gmet_2195, Gmet_2204, Gmet_2071, Gmet_1572, Gmet_2196, Gmet_3284, Gmet_2224, Gmet_1716, Gmet_2207, Gmet_1575, Gmet_3291	1	1	YngF10, YngF2, YngF5, YsiB, YngF7, YngF, YngF11, YngF8, YngF9, YngF6, YsiB1, YngF3, YngF1	Lipids
3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)	ECOAH4	[c] : 3hdcoa <==> dc2coa + h2o	-Inf	Inf	1	0	Gmet_2057, Gmet_2212, Gmet_2195, Gmet_2204, Gmet_2071, Gmet_1572, Gmet_2196, Gmet_3284, Gmet_2224, Gmet_1716, Gmet_2207, Gmet_1575, Gmet_3291	1	1	YngF9, YngF, YngF6, YsiB1, YsiB, YngF10, YngF11, YngF5, YngF3, YngF7, YngF8, YngF2, YngF1	Lipids
3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)	ECOAH5	[c] : 3hddcoa <==> h2o + trans-dd2coa	-Inf	Inf	1	0	Gmet_2057, Gmet_2212, Gmet_2195, Gmet_2071, Gmet_2204, Gmet_1572, Gmet_2196, Gmet_3284, Gmet_2224, Gmet_1716, Gmet_2207, Gmet_1575, Gmet_3291	1	1	YngF2, YngF7, YngF10, YsiB1, YngF3, YngF1, YngF, YsiB, YngF11, YngF8, YngF6, YngF9, YngF5	Lipids
3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)	ECOAH6	[c] : 3htdcoa <==> h2o + td2coa	-Inf	Inf	1	0	Gmet_2057, Gmet_2212, Gmet_2195, Gmet_2204, Gmet_2071, Gmet_1572, Gmet_2196, Gmet_3284, Gmet_2224, Gmet_1716, Gmet_2207, Gmet_1575, Gmet_3291	1	1	YngF11, YsiB1, YngF9, YngF, YngF5, YngF10, YngF3, YngF7, YngF8, YngF6, YsiB, YngF2, YngF1	Lipids
3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)	ECOAH7	[c] : 3hhdcoa <==> h2o + hdd2coa	-Inf	Inf	1	0	Gmet_2057, Gmet_2212, Gmet_2195, Gmet_2204, Gmet_2071, Gmet_1572, Gmet_2196, Gmet_3284, Gmet_2224, Gmet_1716, Gmet_2207, Gmet_1575, Gmet_3291	1	1	YngF, YsiB1, YngF9, YngF2, YngF5, YsiB, YngF3, YngF7, YngF6, YngF8, YngF10, YngF1, YngF11	Lipids
Endotoxin Synthesis (myristoyl transferase)	EDTXS2	[c] : kdo2lipid4L + myrsACP --> ACP + lipa	0	Inf	1	0	Gmet_0091	1	1	MsbB	Cell Envelope Biosynthesis
Endotoxin Synthesis (myristoyl transferase)	EDTXS4	[c] : kdo2lipid4p + myrsACP --> ACP + lipa_cold	0	Inf	1	0	Gmet_0091	1	1	MsbB	Cell Envelope Biosynthesis
enolase	ENO	[c] : 2pg <==> h2o + pep	-Inf	Inf	1	0	Gmet_2372	1	1	Eno	Central Metabolism
exopolyphosphatase	EPPP	[c] : h2o + polypi --> h + pi	0	Inf	1	0	Gmet_1828, Gmet_0880	1	1	Ppx1, Ppx	Other
ethanesulfonate transport via ABC system	ETHSabc	atp[c] + eths[e] + h2o[c] --> adp[c] + eths[c] + h[c] + pi[c]	0	Inf	1	0	Gmet_1899, Gmet_1901, Gmet_1900, Gmet_0998, Gmet_0997, Gmet_0996	1	1	SsuC1+SsuA1+SsuB1, SsuA+SsuC+SsuB	Transport
ethanol transporter	ETOHt4	etoh[e] + h[e] <==> etoh[c] + h[c]	-Inf	Inf	1	0		1	1		Transport
fatty-acyl-ACP hydrolase	FA120ACPH	[c] : ddcaACP + h2o <==> ACP + ddca + h	-Inf	Inf	1	0	Gmet_1732	1	1	FatB	Fatty Acid Synthesis
fatty-acyl-ACP hydrolase	FA140ACPH	[c] : h2o + myrsACP <==> ACP + h + ttdca	-Inf	Inf	1	0	Gmet_1732	1	1	FatB	Fatty Acid  Biosynthesis
fatty-acyl-ACP hydrolase	FA141ACPH	[c] : h2o + tdeACP <==> ACP + h + ttdcea	-Inf	Inf	1	0	Gmet_1732	1	1	FatB	Fatty Acid Synthesis
fatty-acyl-ACP hydrolase	FA160ACPH	[c] : h2o + palmACP <==> ACP + h + hdca	-Inf	Inf	1	0	Gmet_1732	1	1	FatB	Fatty Acid  Biosynthesis
fatty-acyl-ACP hydrolase	FA161ACPH	[c] : h2o + hdeACP <==> ACP + h + hdcea	-Inf	Inf	1	0	Gmet_1732	1	1	FatB	Fatty Acid  Biosynthesis
fatty-acyl-ACP hydrolase	FA180ACPH	[c] : h2o + ocdACP <==> ACP + h + ocdca	-Inf	Inf	1	0	Gmet_1732	1	1	FatB	Fatty Acid Synthesis
fatty-acyl-ACP hydrolase	FA181ACPH	[c] : h2o + octeACP <==> ACP + h + ocdcea	-Inf	Inf	1	0	Gmet_1732	1	1	FatB	Fatty Acid Synthesis
fatty-acyl-ACP hydrolase	FA182ACPH	[c] : h2o + ocdcyaACP <==> ACP + h + ocdcya	-Inf	Inf	1	0	Gmet_1732	1	1	FatB	Fatty Acid Synthesis
fatty-acid--CoA ligase (Iso-C14:0)	FACOAL140(ISO)	[c] : atp + coa + fa1 <==> amp + fa1coa + ppi	-Inf	Inf	1	0	Gmet_0256, Gmet_1613, Gmet_2246, Gmet_2229, Gmet_2020, Gmet_1469, Gmet_2692	1	1	YhfL, YhfL2, YhfL3, YhfL1, YhfL4, YhfL5, YhfL6	Lipids
fatty-acid--CoA ligase (anteiso-C15:0)	FACOAL150(anteiso)	[c] : atp + coa + fa4 <==> amp + fa4coa + ppi	-Inf	Inf	1	0	Gmet_0256, Gmet_1613, Gmet_2246, Gmet_2229, Gmet_2020, Gmet_1469, Gmet_2692	1	1	YhfL1, YhfL5, YhfL6, YhfL3, YhfL4, YhfL, YhfL2	Lipids
fatty-acid--CoA ligase (Iso-C15:0)	FACOAL150(ISO)	[c] : atp + coa + fa3 <==> amp + fa3coa + ppi	-Inf	Inf	1	0	Gmet_0256, Gmet_1613, Gmet_2246, Gmet_2229, Gmet_2020, Gmet_1469, Gmet_2692	1	1	YhfL, YhfL1, YhfL2, YhfL5, YhfL4, YhfL3, YhfL6	Lipids
fatty-acid--CoA ligase (hexadecanoate)	FACOAL160	[c] : atp + coa + hdca <==> amp + pmtcoa + ppi	-Inf	Inf	1	0	Gmet_0256, Gmet_1613, Gmet_2246, Gmet_2229, Gmet_2020, Gmet_1469, Gmet_2692	1	1	YhfL6, YhfL4, YhfL5, YhfL2, YhfL, YhfL3, YhfL1	Lipids
fatty-acid--CoA ligase (Iso-C16:0)	FACOAL160(ISO)	[c] : atp + coa + fa6 <==> amp + fa6coa + ppi	-Inf	Inf	1	0	Gmet_0256, Gmet_1613, Gmet_2246, Gmet_2229, Gmet_2020, Gmet_1469, Gmet_2692	1	1	YhfL4, YhfL1, YhfL2, YhfL5, YhfL3, YhfL, YhfL6	Lipids
fatty-acid--CoA ligase (Iso-C16:1)	FACOAL161(ISO)	[c] : atp + coa + fa5 <==> amp + fa5coa + ppi	-Inf	Inf	1	0	Gmet_0256, Gmet_1613, Gmet_2246, Gmet_2229, Gmet_2020, Gmet_1469, Gmet_2692	1	1	YhfL4, YhfL5, YhfL, YhfL6, YhfL1, YhfL2, YhfL3	Lipids
fatty-acid--CoA ligase (anteiso-C17:0)	FACOAL170(anteiso)	[c] : atp + coa + fa12 <==> amp + fa12coa + ppi	-Inf	Inf	1	0	Gmet_0256, Gmet_1613, Gmet_2246, Gmet_2229, Gmet_2020, Gmet_1469, Gmet_2692	1	1	YhfL6, YhfL5, YhfL3, YhfL1, YhfL, YhfL2, YhfL4	Lipids
fatty-acid--CoA ligase (Iso-C17:0)	FACOAL170(ISO)	[c] : atp + coa + fa11 <==> amp + fa11coa + ppi	-Inf	Inf	1	0	Gmet_0256, Gmet_1613, Gmet_2246, Gmet_2229, Gmet_2020, Gmet_1469, Gmet_2692	1	1	YhfL5, YhfL3, YhfL1, YhfL, YhfL6, YhfL2, YhfL4	Lipids
fatty-acid--CoA ligase (anteiso-C17:1)	FACOAL171(anteiso)	[c] : atp + coa + fa10 <==> amp + fa10coa + ppi	-Inf	Inf	1	0	Gmet_0256, Gmet_1613, Gmet_2246, Gmet_2229, Gmet_2020, Gmet_2692	1	1	YhfL3, YhfL6, YhfL4, YhfL5, YhfL, YhfL2	Lipids
fatty-acid--CoA ligase (Iso-C17:1)	FACOAL171(ISO)	[c] : atp + coa + fa9 <==> amp + fa9coa + ppi	-Inf	Inf	1	0	Gmet_0256, Gmet_1613, Gmet_2246, Gmet_2229, Gmet_2020, Gmet_1469, Gmet_2692	1	1	YhfL3, YhfL4, YhfL5, YhfL1, YhfL, YhfL2, YhfL6	Lipids
fatty-acid--CoA ligase (octadecanoate)	FACOAL180	[c] : atp + coa + ocdca <==> amp + ppi + strcoa	-Inf	Inf	1	0	Gmet_0256, Gmet_1613, Gmet_2246, Gmet_2229, Gmet_2020, Gmet_1469, Gmet_2692	1	1	YhfL, YhfL2, YhfL5, YhfL3, YhfL1, YhfL6, YhfL4	Lipids
fatty-acid--CoA ligase (octadecenoate)	FACOAL181	[c] : atp + coa + ocdcea <==> amp + odecoa + ppi	-Inf	Inf	1	0	Gmet_0256, Gmet_1613, Gmet_2246, Gmet_2229, Gmet_2020, Gmet_1469, Gmet_2692	1	1	YhfL2, YhfL3, YhfL4, YhfL1, YhfL5, YhfL, YhfL6	Lipids
fructose-bisphosphate aldolase	FBA	[c] : fdp <==> dhap + g3p	-Inf	Inf	1	0	Gmet_1761	1	1	Fba	Central Metabolism
fructose-bisphosphatase	FBP	[c] : fdp + h2o --> f6p + pi	0	Inf	1	0	Gmet_1921	1	1	Fbp	Central Metabolism
Heme B synthesis reaction	FCLT	[c] : fe2 + ppp9 --> h + pheme	0	Inf	1	0	Gmet_0019	1	1	HemH	Vitamins & Cofactor Biosynthesis
formate dehydrogenase	FDH	[c] : for + nad --> co2 + nadh	0	Inf	1	0	Gmet_2227, Gmet_2076	1	1	YoaE+FdhD	Central Metabolism
Formate Dehydrogenase (menaquinone-7: 2 protons)	FDH5	for[c] + (3) h[c] + mqn7[c] --> co2[c] + (2) h[e] + mql7[c]	0	Inf	1	0	Gmet_1060_OR_Gmet_1062_OR_Gmet_2738_OR_Gmet_1061_OR_Gmet_1059	1	1	Fdh1	Transport
iron (II) transport via ABC system	FE2abc	atp[c] + fe2[e] + h2o[c] --> adp[c] + fe2[c] + h[c] + pi[c]	0	Inf	1	0	Gmet_2444	1	1	FeoB2	Transport
Fe (III) Reductase: G sulfurreducens	FERCYT	fe3[e] + focytcc[c] --> fe2[e] + ficytcc[c]	0	Inf	1	0		1	1		Energy Metabolism
Methionyl-tRNA formyltransferase	FMETTRS	[c] : 10fthf + mettrna --> fmettrna + thf	0	Inf	1	0	Gmet_3339	1	1	Fmt	Other
FMN adenylyltransferase	FMNAT	[c] : atp + fmn + h --> fad + ppi	0	Inf	1	0	Gmet_1388	1	1	RibC	Vitamins & Cofactor Biosynthesis
ferredoxin-NADP reductase	FNOR	[c] : fdxr-4:2 + h + nadp <==> fdxo-4:2 + nadph	-Inf	Inf	1	0	Gmet_3023_OR_Gmet_3022	1	1	Sfr	Energy Metabolism
